Month,Petrol,Diesel,Electric,Others,Total,Petrol share %,Diesel share %,Electric share %,Others share %
2026-04,"413,288","10,110","164,075",57,"587,530",70.34,1.72,27.93,0.01
2026-03,"414,141","10,160","156,730",53,"581,084",71.27,1.75,26.97,0.01
2026-02,"425,091","10,248","149,371",59,"584,769",72.69,1.75,25.54,0.01
2026-01,"429,268","10,293","145,587",55,"585,203",73.35,1.76,24.88,0.01
2025-12,"432,752","10,338","141,771",53,"584,914",73.99,1.77,24.24,0.01
2025-11,"435,051","10,376","136,861",52,"582,340",74.71,1.78,23.5,0.01
2025-10,"438,683","10,407","133,328",54,"582,472",75.31,1.79,22.89,0.01
2025-09,"441,411","10,428","129,220",59,"581,118",75.96,1.79,22.24,0.01
2025-08,"444,190","10,470","126,007",62,"580,729",76.49,1.8,21.7,0.01
2025-07,"446,860","10,514","123,355",61,"580,790",76.94,1.81,21.24,0.01
2025-06,"449,502","10,543","120,694",58,"580,797",77.39,1.82,20.78,0.01
2025-05,"451,466","10,551","117,738",58,"579,813",77.86,1.82,20.31,0.01
2025-04,"453,994","10,566","114,512",57,"579,129",78.39,1.82,19.77,0.01
2025-03,"456,785","10,605","112,394",59,"579,843",78.78,1.83,19.38,0.01
2025-02,"459,205","10,636","110,014",58,"579,913",79.19,1.83,18.97,0.01
2025-01,"460,317","10,639","107,534",60,"578,550",79.56,1.84,18.59,0.01
2024-12,"461,709","10,627","105,609",56,"578,001",79.88,1.84,18.27,0.01
2024-11,"462,997","10,637","103,112",56,"576,802",80.27,1.84,17.88,0.01
2024-10,"465,024","10,640","100,603",59,"576,326",80.69,1.85,17.46,0.01
2024-09,"466,674","10,621","97,789",57,"575,141",81.14,1.85,17,0.01
2024-08,"469,613","10,657","96,021",56,"576,347",81.48,1.85,16.66,0.01
2024-07,"471,997","10,686","93,929",62,"576,674",81.85,1.85,16.29,0.01
2024-06,"473,783","10,696","92,009",60,"576,548",82.18,1.86,15.96,0.01
2024-05,"476,522","10,720","90,643",63,"577,948",82.45,1.85,15.68,0.01
2024-04,"478,185","10,769","88,869",67,"577,890",82.75,1.86,15.38,0.01
2024-03,"479,078","10,764","84,268",63,"574,173",83.44,1.87,14.68,0.01
2024-02,"485,098","10,784","79,891",64,"575,837",84.24,1.87,13.87,0.01
2024-01,"489,744","10,804","76,627",67,"577,242",84.84,1.87,13.27,0.01
2023-12,"493,537","10,813","73,494",64,"577,908",85.4,1.87,12.72,0.01
2023-11,"496,250","10,847","70,409",60,"577,566",85.92,1.88,12.19,0.01
2023-10,"498,561","10,846","67,890",60,"577,357",86.35,1.88,11.76,0.01
2023-09,"501,737","10,873","65,711",61,"578,382",86.75,1.88,11.36,0.01
2023-08,"505,484","10,919","63,736",63,"580,202",87.12,1.88,10.99,0.01
2023-07,"507,581","10,905","60,986",65,"579,537",87.58,1.88,10.52,0.01
2023-06,"510,605","10,906","58,798",67,"580,376",87.98,1.88,10.13,0.01
2023-05,"512,276","10,913","56,328",68,"579,585",88.39,1.88,9.72,0.01
2023-04,"514,596","10,932","53,686",67,"579,281",88.83,1.89,9.27,0.01
2023-03,"517,362","10,978","51,998",69,"580,407",89.14,1.89,8.96,0.01
2023-02,"516,744","10,978","49,912",69,"577,703",89.45,1.9,8.64,0.01
2023-01,"513,631","10,944","47,154",68,"571,797",89.83,1.91,8.25,0.01
2022-12,"514,700","10,919","45,726",67,"571,412",90.08,1.91,8,0.01
2022-11,"516,510","10,915","43,118",70,"570,613",90.52,1.91,7.56,0.01
2022-10,"519,595","10,913","40,422",65,"570,995",91,1.91,7.08,0.01
2022-09,"522,496","10,905","37,583",66,"571,050",91.5,1.91,6.58,0.01
2022-08,"525,223","10,954","34,987",69,"571,233",91.95,1.92,6.12,0.01
2022-07,"527,377","10,964","32,848",68,"571,257",92.32,1.92,5.75,0.01
2022-06,"529,513","10,980","31,854",71,"572,418",92.5,1.92,5.56,0.01
2022-05,"530,386","10,999","30,519",67,"571,971",92.73,1.92,5.34,0.01
2022-04,"531,243","10,986","30,089",69,"572,387",92.81,1.92,5.26,0.01
2022-03,"530,363","10,951","29,347",75,"570,736",92.93,1.92,5.14,0.01
2022-02,"536,260","11,038","27,877",78,"575,253",93.22,1.92,4.85,0.01
2022-01,"541,853","11,145","27,342",79,"580,419",93.36,1.92,4.71,0.01
2021-12,"542,951","11,150","26,833",78,"581,012",93.45,1.92,4.62,0.01
2021-11,"542,239","11,155","25,732",76,"579,202",93.62,1.93,4.44,0.01
2021-10,"543,319","11,155","24,132",77,"578,683",93.89,1.93,4.17,0.01
2021-09,"546,008","11,186","23,344",76,"580,614",94.04,1.93,4.02,0.01
2021-08,"547,230","11,227","22,359",76,"580,892",94.21,1.93,3.85,0.01
2021-07,"547,999","11,251","21,734",76,"581,060",94.31,1.94,3.74,0.01
2021-06,"549,631","11,270","20,888",74,"581,863",94.46,1.94,3.59,0.01
2021-05,"547,260","11,232","20,276",76,"578,844",94.54,1.94,3.5,0.01
2021-04,"548,198","11,261","19,305",79,"578,843",94.71,1.95,3.34,0.01
2021-03,"548,211","11,281","18,693",77,"578,262",94.8,1.95,3.23,0.01
2021-02,"546,648","11,238","18,237",78,"576,201",94.87,1.95,3.17,0.01
2021-01,"543,539","11,196","17,757",76,"572,568",94.93,1.96,3.1,0.01
2020-12,"544,375","11,197","17,352",79,"573,003",95,1.95,3.03,0.01
2020-11,"547,189","11,264","16,780",76,"575,309",95.11,1.96,2.92,0.01
2020-10,"547,179","11,243","16,049",76,"574,547",95.24,1.96,2.79,0.01
2020-09,"546,778","11,265","15,927",75,"574,045",95.25,1.96,2.77,0.01
2020-08,"543,820","11,178","15,506",75,"570,579",95.31,1.96,2.72,0.01
2020-07,"546,698","11,277","14,568",72,"572,615",95.47,1.97,2.54,0.01
2020-06,"546,444","11,261","14,432",74,"572,211",95.5,1.97,2.52,0.01
2020-05,"544,462","11,234","14,221",70,"569,987",95.52,1.97,2.49,0.01
2020-04,"540,658","11,182","13,854",70,"565,764",95.56,1.98,2.45,0.01
2020-03,"539,708","11,161","13,458",64,"564,391",95.63,1.98,2.38,0.01
2020-02,"540,654","11,144","13,242",63,"565,103",95.67,1.97,2.34,0.01
2020-01,"549,028","11,279","13,197",67,"573,571",95.72,1.97,2.3,0.01